Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2021-01-08,67.75,68.5,67.35,68.5,1.9,67.72,131.0,4190.0,,,242.0
2021-01-07,66.5,66.6,65.75,66.6,2.35,66.35,94.0,4171.0,,,79.0
2021-01-06,65.75,65.75,64.2,64.25,-0.65,64.48,63.0,4203.0,,,89.0
2021-01-05,68.5,68.75,65.9,64.9,-4.4,66.96,157.0,4180.0,,,75.0
2021-01-04,69.75,70.25,69.75,69.3,,69.97,120.0,4183.0,,,9.0
2020-12-31,69.0,69.0,69.0,69.0,-0.4,69.0,28.0,4183.0,,,8.0
2020-12-30,70.6,70.6,69.15,69.4,-0.6,69.52,252.0,4039.0,,,23.0
2020-12-29,71.0,71.0,70.25,70.0,-1.65,70.91,321.0,3901.0,,,47.0
2020-12-28,71.75,72.0,71.5,71.65,,71.78,179.0,3931.0,,,5.0
2020-12-24,70.0,70.0,70.0,69.75,0.1,70.0,26.0,3949.0,,,
2020-12-23,,,,66.05,-0.05,,,3388.0,,,
2020-12-22,,,,66.1,0.0,,,3388.0,,,
2020-12-21,,,,66.1,0.1,,,3388.0,,,
2020-12-18,65.65,66.0,65.65,66.0,0.35,65.99,51.0,3438.0,,,
2020-12-17,,,,65.65,0.05,,,3438.0,,,
2020-12-16,,,,65.6,-0.2,,,3438.0,,,
2020-12-15,,,,65.8,0.4,,,3433.0,,,5.0
2020-12-14,65.45,65.45,65.4,65.4,0.3,65.43,15.0,3418.0,,,10.0
2020-12-11,65.0,65.0,65.0,65.1,1.1,65.0,2.0,3420.0,,,5.0
2020-12-10,63.6,64.0,63.5,64.0,0.7,63.73,34.0,3440.0,,,105.0
2020-12-09,,,,63.3,0.25,,,3440.0,,,
2020-12-08,63.0,63.0,62.8,63.05,0.1,62.9,2.0,3416.0,,,25.0
2020-12-07,63.5,63.5,63.5,62.95,-0.25,63.5,5.0,3416.0,,,
2020-12-04,62.15,63.4,62.15,63.2,1.35,63.03,25.0,3404.0,,,155.0
2020-12-03,62.4,62.6,62.25,61.85,-0.15,62.43,10.0,3367.0,,,91.0
2020-12-02,61.45,62.05,61.45,62.0,0.75,61.75,17.0,3368.0,,,10.0
2020-12-01,60.95,61.7,60.9,61.25,0.1,61.37,66.0,3350.0,,,45.0
2020-11-30,60.5,60.75,60.5,61.15,1.6,60.67,35.0,3257.0,,,100.0
2020-11-27,59.5,59.75,58.75,59.55,0.7,59.2,53.0,3231.0,,,53.0
2020-11-26,,,,53.55,0.0,,,2638.0,,,
2020-11-25,,,,53.55,0.35,,,2638.0,,,
2020-11-24,,,,53.2,0.25,,,2638.0,,,
2020-11-23,53.0,53.15,53.0,52.95,-0.05,53.1,3.0,2635.0,,,
2020-11-20,52.7,52.9,52.7,53.0,0.25,52.74,75.0,2705.0,,,5.0
2020-11-19,52.75,52.9,52.75,52.75,-0.1,52.84,18.0,2712.0,,,
2020-11-18,,,,52.85,0.1,,,2712.0,,,
2020-11-17,52.8,52.85,52.75,52.75,-0.2,52.8,12.0,2712.0,,,
2020-11-16,53.0,53.0,53.0,52.95,0.25,53.0,6.0,2712.0,,,10.0
2020-11-13,52.5,52.75,52.5,52.7,0.65,52.67,60.0,2670.0,,,5.0
2020-11-12,51.45,52.5,51.45,52.05,0.65,51.75,93.0,2662.0,,,15.0
2020-11-11,51.4,51.45,51.2,51.4,0.05,51.33,28.0,2647.0,,,25.0
2020-11-10,51.4,51.4,51.3,51.35,0.3,51.34,22.0,2549.0,,,100.0
2020-11-09,51.0,51.3,51.0,51.05,0.25,51.09,6.0,2536.0,,,20.0
