Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2021-01-07,79.3,81.0,79.3,81.05,1.6,80.15,19.0,1872.0,,,31.0
2021-01-06,80.1,80.1,79.5,79.45,-0.9,79.85,15.0,1864.0,,,1.0
2021-01-05,81.5,81.5,80.5,80.35,-0.85,80.87,44.0,1849.0,,,94.0
2021-01-04,82.25,82.25,81.25,81.2,,81.93,36.0,1778.0,,,94.0
2020-12-31,81.3,81.3,80.5,80.5,-1.1,80.81,16.0,1785.0,,,
2020-12-30,82.5,82.5,81.5,81.6,-2.6,81.8,60.0,1792.0,,,20.0
2020-12-29,84.5,84.5,84.5,84.2,-1.15,84.5,23.0,1789.0,,,10.0
2020-12-28,,,,85.35,,,44.0,1802.0,,,
2020-12-24,,,,84.5,-0.35,,,1813.0,,,11.0
2020-12-23,,,,79.85,-0.15,,,2040.0,,,
2020-12-22,,,,80.0,0.15,,,2040.0,,,
2020-12-21,,,,79.85,-0.15,,,2040.0,,,
2020-12-18,,,,80.0,0.5,,,2035.0,,,5.0
2020-12-17,,,,79.5,0.25,,,2035.0,,,
2020-12-16,,,,79.25,-0.25,,,2035.0,,,
2020-12-15,,,,79.5,0.75,,,2030.0,,,5.0
2020-12-14,,,,78.75,1.05,,,2045.0,,,30.0
2020-12-11,77.95,77.95,77.95,77.7,0.2,77.95,10.0,2045.0,,,
2020-12-10,77.0,77.5,77.0,77.5,0.9,77.35,23.0,2055.0,,,
2020-12-09,76.75,76.85,76.75,76.6,0.65,76.8,10.0,2060.0,,,
2020-12-08,,,,75.95,-0.35,,,2060.0,,,35.0
2020-12-07,74.5,76.0,74.5,76.3,2.05,75.5,14.0,2071.0,,,139.0
2020-12-04,,,,74.25,0.7,,,2076.0,,,5.0
2020-12-03,72.75,74.0,72.75,73.55,2.15,73.73,73.0,2086.0,,,10.0
2020-12-02,,,,71.4,1.35,,,2085.0,,,40.0
2020-12-01,70.05,70.05,70.05,70.05,-0.25,70.05,1.0,2074.0,,,10.0
2020-11-30,69.0,70.0,69.0,70.3,0.75,69.33,3.0,2073.0,,,15.0
2020-11-27,69.9,69.9,69.0,69.55,-0.45,69.63,6.0,2075.0,,,20.0
2020-11-26,,,,63.85,0.1,,,2228.0,,,
2020-11-25,,,,63.75,0.25,,,2228.0,,,
2020-11-24,,,,63.5,0.1,,,2228.0,,,
2020-11-23,,,,63.4,0.05,,,2228.0,,,
2020-11-20,62.75,63.3,62.75,63.35,0.7,63.13,40.0,2188.0,,,
2020-11-19,62.6,62.65,62.6,62.65,0.2,62.61,20.0,2198.0,,,
2020-11-18,62.5,62.5,62.5,62.45,0.05,62.5,3.0,2202.0,,,5.0
2020-11-17,62.3,62.3,62.3,62.4,0.1,62.3,6.0,2203.0,,,
2020-11-16,62.2,62.3,62.2,62.3,0.05,62.25,25.0,2213.0,,,
2020-11-13,,,,62.25,-0.05,,,2213.0,,,
2020-11-12,,,,62.3,0.0,,,2213.0,,,
2020-11-11,,,,62.3,0.0,,,2213.0,,,
2020-11-10,,,,62.3,0.25,,,2213.0,,,
2020-11-09,62.2,62.2,62.2,62.05,0.4,62.2,1.0,2212.0,,,
2020-11-06,61.5,61.7,61.5,61.65,0.2,61.59,74.0,2252.0,,,15.0
2020-11-05,61.0,61.5,61.0,61.45,0.85,61.26,54.0,2259.0,,,10.0
2020-11-04,60.5,60.5,60.5,60.6,0.05,60.5,1.0,2258.0,,,
2020-11-03,60.0,60.6,60.0,60.55,0.65,60.45,14.0,2253.0,,,
2020-11-02,59.75,59.75,59.75,59.9,0.65,59.75,5.0,2288.0,,,
2020-10-30,59.5,59.5,59.5,59.25,0.35,59.5,1.0,2173.0,,,130.0
2020-10-29,,,,58.2,0.0,,,2065.0,,,
2020-10-28,,,,58.2,0.05,,,2065.0,,,
2020-10-27,58.15,58.15,58.15,58.15,0.15,58.15,1.0,2064.0,,,
2020-10-26,58.05,58.05,58.0,58.0,0.0,58.01,6.0,2065.0,,,
2020-10-23,58.0,58.0,58.0,58.0,0.0,58.0,5.0,2065.0,,,
2020-10-22,58.0,58.0,58.0,58.0,0.25,58.0,2.0,2064.0,,,
2020-10-21,57.7,57.7,57.7,57.75,-0.05,57.7,1.0,2064.0,,,
2020-10-20,57.5,57.85,57.5,57.8,0.5,57.75,11.0,2060.0,,,
2020-10-19,57.0,57.4,57.0,57.3,1.0,57.27,6.0,2059.0,,,
2020-10-16,56.25,56.25,56.25,56.3,0.6,56.25,1.0,2107.0,,,105.0
2020-10-15,55.4,55.8,55.4,55.7,0.3,55.63,25.0,2102.0,,,10.0
2020-10-14,55.7,55.7,55.5,55.4,0.7,55.53,9.0,2106.0,,,
2020-10-13,55.0,55.0,54.35,54.7,-2.15,54.79,20.0,2103.0,,,
2020-10-12,,,,56.85,-0.55,,,2108.0,,,
2020-10-09,,,,57.4,-0.6,,10.0,2098.0,,,5.0
2020-10-08,58.0,58.0,57.9,58.0,0.0,57.93,4.0,2082.0,,,25.0
2020-10-07,57.95,57.95,57.95,58.0,-0.1,57.95,4.0,2083.0,,,
2020-10-06,,,,58.1,0.0,,7.0,2083.0,,,
2020-10-05,,,,58.1,0.55,,5.0,2078.0,,,10.0
2020-10-02,58.25,58.25,57.6,57.55,-1.05,57.89,61.0,2142.0,,,151.0
2020-10-01,,,,58.6,0.0,,2.0,2112.0,,,115.0
2020-09-30,58.5,58.5,58.25,58.6,-0.05,58.41,79.0,2082.0,,,95.0
2020-09-29,58.65,58.65,58.65,58.65,-0.35,58.65,10.0,2083.0,,,18.0
2020-09-28,58.75,58.75,58.7,59.0,0.2,58.73,4.0,2100.0,,,61.0
2020-09-25,59.6,59.6,58.75,58.8,-1.0,59.32,33.0,2089.0,,,65.0
2020-09-24,52.8,52.8,52.8,52.8,0.05,52.8,1.0,1674.0,,,
2020-09-23,,,,52.75,0.05,,,1674.0,,,
2020-09-22,52.7,52.75,52.6,52.7,0.25,52.69,80.0,1698.0,,,
2020-09-21,52.3,52.65,52.3,52.45,0.4,52.47,5.0,1699.0,,,
2020-09-18,52.1,52.2,52.1,52.05,0.15,52.12,5.0,1699.0,,,
2020-09-17,51.95,52.1,51.95,51.9,0.4,52.01,4.0,1699.0,,,20.0
2020-09-16,51.25,51.5,51.25,51.5,0.5,51.28,9.0,1699.0,,,
2020-09-15,50.75,51.0,50.7,51.0,0.25,50.82,9.0,1701.0,,,
2020-09-14,50.75,50.75,50.75,50.75,0.0,50.75,6.0,1707.0,,,
2020-09-11,50.5,51.0,50.4,50.75,1.0,50.6,9.0,1710.0,,,
2020-09-10,50.0,50.5,50.0,49.75,0.95,50.17,3.0,1709.0,,,10.0
2020-09-09,48.85,48.85,48.85,48.8,0.05,48.85,5.0,1714.0,,,
2020-09-08,48.4,48.75,48.4,48.75,0.25,48.6,12.0,1715.0,,,
2020-09-07,48.5,48.5,48.5,48.5,-0.5,48.5,1.0,1716.0,,,
2020-09-04,49.4,49.4,49.0,49.0,-0.7,49.24,8.0,1713.0,,,
2020-09-03,50.25,50.25,49.7,49.7,-0.9,49.87,5.0,1717.0,,,
2020-09-02,51.0,51.0,50.6,50.6,-0.8,50.78,22.0,1723.0,,,10.0
